SN,Segment,Client/Project,Location,Capacity MWp,Manager,Dy Manager,Asst Manager,Sr Engineer,Engineer,Jr Engineer,Sr Technician,Technician,Cleaning Supervisor,Jointer,Store,HSE,Admin,Asst,SCADA Sr Engineer,SCADA Engineer,SCADA Jr Engineer,SCADA Technician,Total
1,IPP,GUVNL-50-1 (Inc. Pss),Vilayat,28,1,,1,1,1,1,1,7,,,,,,,,,,,13
2,IPP,GUVNL-50-2,Vichhyat,47,,1,,1,,,2,3,,,,,,,,,,,7
3,IPP,GUVNL-370-1,Vilayat,165,1,,1,2,1,1,1,8,1,,,,,,,,,,16
4,IPP,GUVNL-370-2,Mobha,90,1,,,1,2,,1,6,1,,,,,,,,,,12
5,IPP,GUVNL-370-3,Gavasad,105,1,,,1,2,,1,7,1,,,,,,,,,,13
6,IPP,GUVNL-370-4,Sambheti,90,1,,,1,2,,1,7,,,,,,,,,,,12
7,IPP,GUVNL-370-5,Achalia,105,1,,1,1,1,,4,5,1,,,,,,,,,,14
8,IPP,GUVNL-250-1,Jhanor,35.01,,,,1,1,,1,2,1,,,,,,,,,,6
9,IPP,GUVNL-250-2,Saring,35.03,,,,2,1,,1,6,1,,,,,,,,,,11
10,IPP,GUVNL-250-3,Hasot,41.5,,,,1,1,1,2,4,,,,,,,,,,,9
11,IPP,GUVNL-250-4,Kara,46.18,,1,1,,2,,2,5,,,,,,,,,,,11
12,IPP,GUVNL-250-5,Valia,94.02,,,1,,3,,4,3,,,,,,,,,,,11
13,IPP,GUVNL-250-6,Randeri,49.15,,,1,,2,,4,3,,,,,,,,,,,10
14,IPP,GUVNL-250-7,Sagapara,49.11,,,1,,2,,2,5,,,,,,,,,,,10
15,IPP,IPP,Khavda,240,1,,1,2,2,2,2,5,,,,,,,,,,,15
16,CPP,SJVN,Khavda,250,1,,1,2,4,,,12,,,,,,,2,,2,,24
17,CPP,Coal India,Khavda,405,1,,1,2,4,,10,,1,1,1,1,1,1,1,,1,,26
18,CPP,Mahajenco,Maharastra,135,,1,,1,1,1,1,5,1,,,,,,,,,,11
19,C&I,Multiple Clients,Amod,1.5,,,,,,,,1,,,,,,,,,,,1
20,C&I,Multiple Clients,Dattnagar,2.6,,,,,1,,1,2,,,,,,,,,,,4
